NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2622.149s, table=0, n_packets=0, n_bytes=0, idle_age=2622, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5061 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2621.154s, table=0, n_packets=0, n_bytes=0, idle_age=2621, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5062,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2621.152s, table=0, n_packets=0, n_bytes=0, idle_age=2621, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5062,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2621.150s, table=0, n_packets=0, n_bytes=0, idle_age=2621, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5062 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2621.149s, table=0, n_packets=0, n_bytes=0, idle_age=2621, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5062 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2620.154s, table=0, n_packets=0, n_bytes=0, idle_age=2620, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5063,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2620.152s, table=0, n_packets=0, n_bytes=0, idle_age=2620, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5063,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2620.151s, table=0, n_packets=0, n_bytes=0, idle_age=2620, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5063 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2620.149s, table=0, n_packets=0, n_bytes=0, idle_age=2620, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5063 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2619.154s, table=0, n_packets=0, n_bytes=0, idle_age=2619, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5064,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2619.151s, table=0, n_packets=0, n_bytes=0, idle_age=2619, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5064,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2619.149s, table=0, n_packets=0, n_bytes=0, idle_age=2619, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5064 actions=mod_dl_dst:00:00:00:00:02:02,output:4
